opening_name,prev_moves,last_move
Queen's Pawn Game: London System,d4 d5 Bf4 Nf6 Nf3 h6 e3 e6 Bd3 Nc6 Nbd2 a6 c3 Bd6 Bg3 Bxg3 hxg3 O-O Qc2 g6 Rxh6 Re8 Nh4 e5 Nxg6 fxg6 Bxg6 Re6 Bh7+ Kf7 Qg6+ Ke7 Qg7+ Kd6 Bf5 Re7 Rxf6+ Re6 Bxe6 Bxe6 O-O-O exd4 exd4 Ne7 Re1 c5 Rexe6+,Kd7
Queen's Pawn Game: London System,d4 d5 Bf4 Nf6 Nf3 h6 e3 e6 Bd3 Nc6 Nbd2 a6 c3 Bd6 Bg3 Bxg3 hxg3 O-O Qc2 g6 Rxh6 Re8 Nh4 e5 Nxg6 fxg6 Bxg6 Re6 Bh7+ Kf7 Qg6+ Ke7 Qg7+ Kd6 Bf5 Re7 Rxf6+ Re6 Bxe6 Bxe6 O-O-O exd4 exd4 Ne7 Re1 c5 Rexe6+ Kd7,dxc5
Queen's Pawn Game: London System,d4 d5 Bf4 Nf6 Nf3 h6 e3 e6 Bd3 Nc6 Nbd2 a6 c3 Bd6 Bg3 Bxg3 hxg3 O-O Qc2 g6 Rxh6 Re8 Nh4 e5 Nxg6 fxg6 Bxg6 Re6 Bh7+ Kf7 Qg6+ Ke7 Qg7+ Kd6 Bf5 Re7 Rxf6+ Re6 Bxe6 Bxe6 O-O-O exd4 exd4 Ne7 Re1 c5 Rexe6+ Kd7 dxc5,Rc8
Queen's Pawn Game: London System,d4 d5 Bf4 Nf6 Nf3 h6 e3 e6 Bd3 Nc6 Nbd2 a6 c3 Bd6 Bg3 Bxg3 hxg3 O-O Qc2 g6 Rxh6 Re8 Nh4 e5 Nxg6 fxg6 Bxg6 Re6 Bh7+ Kf7 Qg6+ Ke7 Qg7+ Kd6 Bf5 Re7 Rxf6+ Re6 Bxe6 Bxe6 O-O-O exd4 exd4 Ne7 Re1 c5 Rexe6+ Kd7 dxc5 Rc8,Rd6+
French Defense: Queen's Knight,None,e4
French Defense: Queen's Knight,e4,e6
French Defense: Queen's Knight,e4 e6,Nc3
French Defense: Queen's Knight,e4 e6 Nc3,d5
French Defense: Queen's Knight,e4 e6 Nc3 d5,exd5
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5,exd5
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5,Nf3
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3,Nf6
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6,Bb5+
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+,c6
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6,Na4
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4,cxb5
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5,Qe2+
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5 Qe2+,Be6
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5 Qe2+ Be6,Qxb5+
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5 Qe2+ Be6 Qxb5+,Qd7
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5 Qe2+ Be6 Qxb5+ Qd7,Nc3
French Defense: Queen's Knight,e4 e6 Nc3 d5 exd5 exd5 Nf3 Nf6 Bb5+ c6 Na4 cxb5 Qe2+ Be6 Qxb5+ Qd7 Nc3,a6
